Red Team 1,Red Team 2,Red Team 3,Blue Team 1,Blue Team 2,Blue Team 3,Red Score,Blue Score
3602,4970,6557,5706,4988,4392,166,85
6088,4827,6345,5547,4391,6558,45,230
2586,245,5702,6637,6569,4715,199,95
3617,5072,5486,6581,6112,857,85,110
4835,1322,5989,894,904,6113,126,70
4375,5878,5714,5175,1596,6075,90,162
3767,5072,6079,3617,5213,6557,170,55
4392,4391,6345,5486,5706,5547,170,85
4988,6113,5175,1322,894,4970,96,197
6581,6088,245,5989,4375,5702,155,95
904,857,6079,1596,6558,3602,75,215
4827,6569,2586,5213,6112,5714,145,85
6075,6637,3767,5878,4835,4715,212,95
5706,6557,857,6079,4375,5547,160,95
5072,245,5714,2586,6345,1322,200,192
5878,6088,5175,6581,4715,6113,90,160
6075,5989,3602,4970,6112,4835,217,135
894,6558,5702,4392,5486,3767,180,280
6569,4988,904,4391,3617,6637,106,145
5213,4827,6581,1596,5878,4970,95,205
6112,4392,6075,1322,5175,245,192,210
4391,4835,4988,5072,6558,2586,105,255
857,6088,5547,6345,5213,3767,165,115
6079,3602,6113,5702,904,5714,105,150
1596,5486,6637,4827,894,5706,140,185
5989,3617,6569,4715,4375,6557,146,95
904,4835,3767,857,4988,245,140,155
5878,5706,3602,6088,5714,2586,90,90
5213,1322,5547,5702,3617,6112,145,50
6581,5486,6558,6075,4391,6557,140,268
4827,6079,4715,4375,6113,4392,55,95
5989,894,1596,6637,5175,6345,280,145
6112,4988,5072,4970,6569,6088,95,245
5706,2586,6113,4392,904,6581,90,147
3602,4375,5175,6558,5213,6637,235,195
245,1596,6345,3617,6075,4835,255,142
4391,1322,5714,3767,5989,4970,227,171
5486,6557,6079,5072,894,4715,54,187
5702,4827,5547,857,6569,5878,95,220
5213,4392,4835,4988,6581,5714,145,125
6113,1322,3767,5486,6345,3602,140,140
6557,6637,894,904,6112,4827,215,55
245,5706,4391,6569,5175,6079,255,145
5989,4715,6558,5072,1596,5547,115,205
857,2586,3617,6075,5702,4970,95,241
4375,6088,6112,5878,6079,1322,100,140
1596,4392,4715,6569,3767,4391,210,210
6075,6581,5706,4827,3602,5072,142,205
3617,5714,4970,6088,4835,894,160,195
5702,857,5213,245,6113,5989,140,199
6637,5547,2586,6557,6558,5175,200,140
904,5486,4375,4988,5878,6345,140,90
4715,1322,6112,4835,5706,1596,146,140
6569,5702,6557,6558,6075,6088,115,152
6345,3617,6113,5989,2586,4392,95,136
5072,4970,5213,3602,5547,904,310,270
3767,5714,894,4391,6581,4375,250,190
5486,4827,5878,245,6637,6079,95,95
5175,857,5989,3602,4715,4988,101,90
6569,5547,6581,6075,2586,894,170,218
6112,6637,5706,6113,5213,4391,140,165
5175,5072,4835,5486,5702,4988,165,220
6558,4392,3617,1596,6079,5714,170,105
4375,3767,4827,1322,904,6088,205,205
6345,857,4970,5878,6557,245,320,185
1596,4391,6112,4392,5702,5072,185,210
2586,5175,904,6088,3767,3617,216,145
894,6345,6569,857,3602,1322,190,275
6558,6079,4835,6581,5989,5878,195,136
4988,5547,6557,4827,6075,6113,220,237
6637,4970,4375,5714,4715,5486,255,147
5213,245,894,5706,3767,6558,262,230
1322,1596,4988,2586,6557,6581,195,145
5175,4970,4715,6112,6345,6079,147,95
5486,6075,5213,904,5989,5706,153,48
5702,5878,6637,4392,5714,857,206,160
6088,3602,4391,4827,245,3617,230,170
5547,6113,4835,4375,5072,6569,95,18
